agent,num_tasks,num_runs,accuracy,C_out,C_traj_d,C_traj_s,C_conf,C_res,mean_time_cv,mean_cost_cv,mean_api_calls_cv,mean_actions_cv,mean_errors_cv,mean_call_latency_cv,mean_conf_cv,P_rc,P_cal,P_auroc,P_brier,mean_confidence,R_fault,R_struct,R_prompt,S_harm,S_comp,S_safety,A_rate,A_prec,A_rec,A_sel,A_cal,accuracy_se,C_out_se,C_traj_d_se,C_traj_s_se,C_conf_se,C_res_se,P_cal_se,P_auroc_se,P_brier_se,R_fault_se,R_struct_se,R_prompt_se
gaia_generalist_claude_haiku_3_5,165,3,0.2808080808080808,0.6363636363636364,0.8296411251334429,0.7270610311307985,0.7889094771561392,0.6772412428404608,0.33269333694131487,0.34982658453669935,0.2292891214351853,0.24940555980066043,1.2476959722202492,0.16018407894033118,0.2669761814477969,0.34652465596988435,0.7033468559837729,0.7184286469129781,0.7204107505070994,0.5786004056795132,0.9568345323741009,0.7769784172661871,0.6330935251798562,1.0,1.0,1.0,0.2718052738336714,0.8507462686567164,0.3220338983050847,0.33147632311977715,0.4726166328600406,0.02019875496517941,0.037563357751878974,0.02397545109525546,0.03065373501199462,0.013879770023271978,0.010564923895774158,0.020247228116483783,0.024141468199599114,0.011678541136600539,0.06352621359980545,0.08900215525916405,0.08053916204272527
gaia_generalist_claude_opus_4_5,165,3,0.7151515151515152,0.696969696969697,0.7245433725472147,0.5381040163229462,0.8227704133753437,0.6753960360918578,0.4298460449081073,0.6067392260874512,0.37626009233133556,0.38200332529798653,0.7357703003808743,0.15001779227575354,0.21752428737423837,0.5453468660620167,0.9244123711340205,0.7244145426316471,0.8163826804123712,0.6594226804123711,1.0,1.0,0.891949152542373,1.0,1.0,1.0,0.2927835051546392,0.30985915492957744,0.33587786259541985,0.7463556851311953,0.6185567010309279,0.020286325469800623,0.035886248000917116,0.017324211082376122,0.024435229334070257,0.012611738766831627,0.013437517643409932,0.015543942832290486,0.02242753278347843,0.009289842725874513,0.02266187572745736,0.020525481918624508,0.03697801516730422
gaia_generalist_claude_sonnet_3_7,165,3,0.6242424242424243,0.6363636363636364,0.7119978045362418,0.540523009166299,0.8624759036644557,0.6038827801496187,0.4745289615146236,0.614806869654067,0.37580616415749457,0.3605926120321881,1.352442380360904,0.18575869104011433,0.15946489617202028,0.33505518138385837,0.8656186612576066,0.6744582805684536,0.7727129817444219,0.7465517241379309,0.9255663430420711,0.9546925566343041,0.8713592233009708,0.5,0.9959432048681541,0.997971602434077,0.15415821501014199,0.47368421052631576,0.1956521739130435,0.645083932853717,0.6186612576064908,0.021768470388784898,0.037563357751878974,0.018951259302327526,0.024114749353960175,0.009656621474813738,0.011326685881472238,0.01901577010268799,0.024768098244473413,0.0111603506505745,0.04743740715991008,0.041718610378954815,0.04395126715947217
gaia_generalist_claude_sonnet_4_5,165,3,0.7474747474747475,0.6424242424242425,0.6946255081771865,0.49466556552699525,0.8539897898371599,0.6634612159314829,0.46117536068321724,0.6303828080644912,0.38863275779820067,0.40244801062752605,0.6577820743220493,0.17480099789513714,0.16991968667281088,0.43453718476981573,0.9099390243902439,0.6554275587062472,0.8139619918699187,0.7565243902439024,0.9918918918918919,0.9324324324324325,0.9364864864864864,1.0,1.0,1.0,0.4065040650406504,0.265,0.4344262295081967,0.7636986301369864,0.5609756097560976,0.019527564013145492,0.03742597043806586,0.01507235957527859,0.021145385715370217,0.009780105728611765,0.012105394822498955,0.016434069334651805,0.025401822193748185,0.01068882963970182,0.022615811433864166,0.04954493790822264,0.029762511573765273
gaia_generalist_gemini_2_5_flash,165,3,0.37777777777777777,0.5212121212121212,0.6916518887044592,0.5677843857531357,0.5865410470764101,0.6005590524365133,0.6332373449071165,0.656048325151148,0.357404601878412,0.3822677924732972,0.9045870504255562,0.41766056678480024,0.7080473194972737,0.6309642673510456,0.7166666666666666,0.8300663240502812,0.7232171717171718,0.6530303030303031,1.0,1.0,0.9304812834224598,0.5,0.997979797979798,0.998989898989899,0.4404040404040404,0.8211009174311926,0.5811688311688312,0.5342960288808665,0.6606060606060606,0.02179156209581778,0.039008289137373,0.027207914730409757,0.030072543530966684,0.02446008462280635,0.011780198268759638,0.019998762275495467,0.017437704866598944,0.017513200105645707,0.012393198578397047,0.023947026151045755,0.062373653505499144
gaia_generalist_gemini_2_5_pro,165,3,0.501010101010101,0.6,0.7357653770330673,0.5747317816625057,0.6266451048587974,0.6178789287118883,0.5755295243817431,0.6792909690424591,0.4014659408654789,0.39932628959769734,0.7741123692384393,0.2935484494536211,0.5957644121684941,0.4793051046390686,0.7656122448979591,0.749541788856305,0.740160612244898,0.6690816326530613,1.0,1.0,0.8951612903225806,0.33333333333333337,0.9938775510204082,0.9959183673469388,0.42244897959183675,0.6666666666666666,0.5702479338842975,0.6325088339222615,0.6469387755102041,0.02247328288947124,0.038254602783800294,0.021418464468560695,0.028516180311483164,0.022464457854514435,0.01179073198980623,0.01957764559355063,0.022962962133266915,0.01662655273710697,0.03202581191086329,0.029909700922888287,0.06062879028105646
gaia_generalist_gemini_2_flash,165,3,0.2787878787878788,0.6,0.7572805467858139,0.599994540483671,0.6256463970251352,0.5396172193452904,0.6504628501485095,0.7531968314049359,0.44844509176142244,0.41612472204363044,1.3647654455337603,0.29468014313255003,0.5160248899061415,0.5145282223045873,0.6624040404040403,0.833170949539236,0.7221351515151515,0.6125050505050507,0.8840579710144927,0.6739130434782608,0.7318840579710145,0.5,0.9878787878787879,0.9939393939393939,0.5818181818181818,0.8541666666666666,0.6890756302521008,0.463768115942029,0.6909090909090909,0.020154213406581963,0.0382546027838003,0.024487837987139043,0.030060667750614112,0.0151447692501061,0.009410576693827218,0.017653388026246525,0.020149770329887972,0.01493748109277411,0.0825802628870007,0.08343164556324291,0.09056471994349771
gaia_generalist_gpt_4_turbo,165,3,0.2,0.7151515151515152,0.7829974018258454,0.6525644417311083,0.5876603743843607,0.6762460541773473,0.37256140347304156,0.44963168650091556,0.2645204303289492,0.275980235965759,0.9134475149851579,0.18242131327044783,0.6670213816906008,0.5576414213714609,0.6891919191919192,0.8372997653300683,0.7520737373737374,0.5067676767676769,0.8686868686868687,0.7575757575757576,0.8181818181818181,0.5,0.997979797979798,0.998989898989899,0.3090909090909091,0.954248366013072,0.3686868686868687,0.26900584795321636,0.4808080808080808,0.01797866299901979,0.03524390844511785,0.031177050935881842,0.03573678396999021,0.021842871578228867,0.008216134767181488,0.017778574568634013,0.018920831694617488,0.01570603266912855,0.10224372261584834,0.10835453048710637,0.09925388235572431
gaia_generalist_gpt_4o_mini,165,3,0.2202020202020202,0.6363636363636364,0.6601705944090585,0.5449524696526196,0.7090553241739059,0.662091435530597,0.4376768530402911,0.5541871971308793,0.32580016497707676,0.28613341000108894,0.8420407577610226,0.1868842777253363,0.38748683190652994,0.4681402904152424,0.6033198380566802,0.7946979625878708,0.6861141700404858,0.6173279352226722,0.8073394495412844,0.9724770642201834,0.8394495412844036,0.5,0.9979757085020243,0.9989878542510122,0.6659919028340081,0.8145896656534954,0.6961038961038961,0.2909090909090909,0.6396761133603239,0.01862512100162548,0.03756335775187897,0.0378229436557929,0.03950576752316752,0.015511048940509784,0.009852201010290612,0.016868479832714382,0.021443100913348615,0.013934129892840192,0.10429740779903765,0.07042107284122183,0.08349116082017378
gaia_generalist_gpt_5_2,165,3,0.298989898989899,0.5818181818181818,0.76406580233912,0.5618057873119432,0.5953070123160104,0.6067784245937697,0.5278773793658049,0.629753725362177,0.4235651202790688,0.46579400430538237,0.8135213240754109,0.3241478484358645,0.6553776218643698,0.4389887156094995,0.7383503054989817,0.7282917027814987,0.7244523421588595,0.5467820773930754,1.0,0.9391891891891891,0.695945945945946,0.525,0.9796334012219959,0.9903258655804481,0.23625254582484725,0.8793103448275862,0.29737609329446063,0.35733333333333334,0.48065173116089616,0.020577271922721786,0.038517163193983975,0.02333530107148348,0.03398833416279868,0.02138380580590488,0.009303414978460118,0.019691184382545742,0.023133752990497216,0.013865088019230247,0.05510436613112155,0.06423264294203859,0.06684592734134887
