agent,num_tasks,num_runs,accuracy,consistency_outcome,consistency_trajectory_distribution,consistency_trajectory_sequence,consistency_confidence,consistency_resource,mean_time_cv,mean_cost_cv,mean_api_calls_cv,mean_actions_cv,mean_errors_cv,mean_call_latency_cv,mean_conf_cv,predictability_rate_confidence_correlation,predictability_calibration,predictability_roc_auc,predictability_brier_score,mean_confidence,robustness_fault_injection,robustness_structural,robustness_prompt_variation,safety_harm_severity,safety_compliance,safety_score,abstention_rate,abstention_precision,abstention_recall,abstention_selective_accuracy,abstention_calibration,accuracy_se,consistency_outcome_se,consistency_trajectory_distribution_se,consistency_trajectory_sequence_se,consistency_confidence_se,consistency_resource_se,predictability_calibration_se,predictability_roc_auc_se,predictability_brier_score_se,robustness_fault_injection_se,robustness_structural_se,robustness_prompt_variation_se
taubench_toolcalling_claude_haiku_3_5,50,5,0.296,0.54,0.8308431957017932,0.7080864497273166,0.9063386003241678,0.8042972734548681,0.2845076903423077,0.3174276403910504,0.2122432085575997,0.2025951646111187,,0.1193384194416281,0.1035333160082581,0.014585057978763,0.4504000000000001,0.4350429975429975,0.4607599999999999,0.842,0.8619730841953065,1.0,0.7709051333212408,0.4123711340206185,0.612,0.772,0.348,0.6666666666666666,0.3295454545454545,0.2760736196319018,0.412,0.0288710235357183,0.0711996331107263,0.0247836358685898,0.0284140433657178,0.0125881457904817,0.0147048619757935,0.0301579395682132,0.0395586011304226,0.022788714683753,0.1073867915432914,0.1064834982785695,0.1246214433788371
taubench_toolcalling_claude_opus_4_5,50,5,0.584,0.68,0.881432952975657,0.7831301111494293,0.9405746859230748,0.8482012354044636,0.2067182064250514,0.2222345676553037,0.1322231397223484,0.1489387148784031,,0.1309963512854634,0.0645672782043516,0.2513866042467664,0.7114400000000001,0.6683350895679663,0.6916808,0.8725599999999999,0.9520832149150232,0.9589041095890412,0.8904109589041097,0.4642857142857143,0.944,0.97,0.624,0.358974358974359,0.5384615384615384,0.4893617021276595,0.408,0.0311733219275713,0.0666394502268034,0.008994765646238,0.0151515207000059,0.0102754781881066,0.0098203869683513,0.0282794681527075,0.0332833005727098,0.0225576252573174,0.0600821909553501,0.0863811181320755,0.0786706522220497
taubench_toolcalling_claude_sonnet_3_7,50,5,0.436,0.4,0.8242214658886825,0.7214616636130804,0.8765635572956701,0.8227256491790002,0.2375081898652289,0.2931433694576485,0.1903542116899317,0.1994823715087724,,0.093020502742856,0.1679075889390313,0.0420834779082501,0.5369999999999999,0.5344199362352788,0.5423876000000001,0.86956,1.0,1.0,0.8868501529051988,0.4528301886792453,0.788,0.884,0.268,0.4029850746268656,0.1914893617021276,0.3770491803278688,0.384,0.0313626529490092,0.0699854212223765,0.0221297198873976,0.0290229013575919,0.0262076341980404,0.0134169559780044,0.0311893323551498,0.0275729125727202,0.027301610473195,0.0261942614530477,0.016719515520542,0.0957999963902424
taubench_toolcalling_claude_sonnet_4_5,50,5,0.544,0.54,0.8649373307642749,0.7694843814616315,0.9104164711737917,0.8469700829422024,0.2020403927348329,0.240463008519766,0.154317521237226,0.1533474879467331,,0.0986898156781155,0.1040348592500984,0.238932685785806,0.6777599999999999,0.6145188338493293,0.6629832,0.86624,0.9718539054966248,1.0,0.9681372549019608,0.5,0.94,0.97,0.592,0.4459459459459459,0.5789473684210527,0.5294117647058824,0.48,0.0315000952379512,0.0711996331107263,0.0129226037650661,0.0182170251913342,0.0166349391267603,0.0100851370979683,0.02754173321997,0.0323278383376181,0.0219603888514853,0.057030818641928,0.063035406493804,0.0594219508042188
taubench_toolcalling_gemini_2_5_flash,50,5,0.472,0.38,0.8470475592105955,0.7009376186695297,0.7098270297490861,0.762684854264617,0.3359245448813642,0.3634525754276078,0.2564732896655359,0.248446862979749,,0.2047705188234473,0.392055061548028,0.0659709728086447,0.5195599999999999,0.5449730354391371,0.5238372,0.8051600000000001,1.0,0.9745762711864407,0.8757062146892656,0.3863636363636363,0.8240000000000001,0.892,0.68,0.488235294117647,0.6287878787878788,0.3875,0.456,0.031573153152639,0.0693409205686376,0.016832543429174,0.0214564644970097,0.0311036377720946,0.0152584340072761,0.029291325285142,0.0359641708267396,0.0266424632664161,0.052860524472074,0.0938051633788465,0.0923528921916208
taubench_toolcalling_gemini_2_5_pro,50,5,0.528,0.48,0.8407010826655453,0.7243201363008577,0.9231212809048158,0.8043135064527742,0.2768202927455225,0.2867121117689435,0.2044171234382276,0.2001805479755398,,0.1530472221742022,0.0888614356635258,0.1064143432149113,0.5622400000000001,0.5810862865947611,0.5620496,0.95776,0.9667807784962597,0.9848484848484848,0.9217171717171716,0.3989361702127659,0.812,0.887,0.576,0.4583333333333333,0.559322033898305,0.5094339622641509,0.48,0.031573153152639,0.0713714056959816,0.0161333136477867,0.0205745646240334,0.0162932895037924,0.0121167856819221,0.0317118039695,0.0259742310555,0.0303676136862793,0.0533178000959419,0.0912963777351049,0.0697811827379624
taubench_toolcalling_gemini_2_flash,50,5,0.32,0.44,0.8739570196487851,0.7296423952869706,0.9328454159298843,0.8061302676764288,0.2555036352866576,0.3068505772416344,0.2125388347824227,0.1992644211927338,,0.1223174718529644,0.077689267738477,0.1409906960443742,0.3564,0.613125,0.3773200000000001,0.9536,0.9765625,1.0,0.8541666666666666,0.3697183098591549,0.716,0.821,0.54,0.6222222222222222,0.4941176470588235,0.2521739130434782,0.452,0.0295025422633372,0.0709124208342334,0.0160839442547237,0.0244190979578457,0.0153205745301866,0.0096444207100386,0.0272062945657801,0.0267437399194232,0.0262899181695188,0.0744613782999705,0.1328496402888292,0.1172857605011692
taubench_toolcalling_gemini_3_pro,50,5,0.588,0.62,0.8567324424032093,0.77496619837998,0.9815203003969714,0.8372507732592867,0.2377994726892091,0.2154258814807398,0.1479857341656838,0.146643929070615,,0.1646054195544556,0.0195369855310988,0.0,0.6006,0.5234462717125685,0.59989,0.9874,1.0,0.9183673469387756,0.90702947845805,0.2083333333333333,0.952,0.962,0.632,0.4873417721518987,0.7475728155339806,0.717391304347826,0.572,0.0311291503256995,0.0693409205686376,0.0182406259133456,0.0208072639964739,0.0054664548889167,0.0113338201392521,0.0292943505816394,0.0241090978780285,0.0288508556675534,0.0358858671698446,0.0980972059596362,0.069397149207831
taubench_toolcalling_gpt_4_turbo,50,5,0.356,0.52,0.8549309268038576,0.7282135433898373,0.9572683875573708,0.8370972272052449,0.2247274179525545,0.2368833014505347,0.1573682887472443,0.1521824071564531,,0.1339743195614057,0.0512741981109502,0.0,0.3825599999999999,0.4710028613301696,0.3780896,0.97344,0.9755065582248132,0.955056179775281,1.0,0.4420289855072463,0.724,0.846,0.48,0.6166666666666667,0.4596273291925465,0.3307692307692307,0.468,0.0302829324867985,0.0713714056959816,0.0216968373822653,0.0229892699022733,0.0137046288620584,0.0090929290607782,0.0322123821851163,0.0207965615704265,0.0310448388299189,0.0719506003218357,0.1170561293542467,0.065234421254297
taubench_toolcalling_gpt_4o_mini,50,3,0.2133333333333333,0.72,0.8277073237374738,0.7246731786731787,0.917648556496289,0.7978635014325133,0.2862999328520477,0.3249960362998639,0.1973144727221234,0.2072569315810778,,0.147296200780272,0.0989921251609997,0.0687519929107005,0.2889999999999999,0.4841101694915254,0.3206166666666666,0.9176666666666669,1.0,0.8437499999999999,0.90625,0.4139344262295081,0.5933333333333333,0.7616666666666666,0.3733333333333333,0.6428571428571429,0.3050847457627119,0.1276595744680851,0.32,0.0334486892839587,0.0641426980589818,0.0425171113306701,0.0569417606721036,0.0183728562237719,0.0128433598806604,0.0337708361608059,0.0616066250074413,0.0324600546585722,0.0805411604617079,0.1997929388319894,0.1368370389296337
